"","notion","words"
"1","любовь","любовь разуверение ветренный запретный неизлечимый душа охлаждать виновница осуществляться оледенить поверенный возобновляться честолюбие крепить угаснуть наитие заблуждаться эльвира скоротечность сближать обмен равнодушие наслаждение растрачивать заронять множить прилепляться эрминия дездемона пепл"
"2","дом","дом хоромы кладовая сумасшедший опустелый вечерня передняя лачуга келья выстраивать избушка вельможный часовня лавочка галерея уютный потемки домик лачужка запросто изукрашивать сбежаться забор погреб въезжать церковь строение шкаф обедня сакля"
"3","семья","семья семейственный наследие лачуга драгоя староста кровный пенат гостеприимный хата неприхотливый атаман угощать приютный наследный лиственный поместье узница немилый кров отслуживать аркадий сват соломенный кладовая чужеземный неотлучный изгнанник дочка пустомеля"
"4","уста","уста прикосновение оледенить ланита излетать прильнуть впивать напитывать лобзание губа жгучий щечка наливаться персей ланит обвевать гиена потускнуть воспаленный кальян тиховейный недосказывать взволноваться замирать пылание дыхание шипка каштановый вежда небрежность"
"5","грудь","грудь оледенить перси охватывать вливаться вкрадываться взволноваться истомляться вздыматься наливаться вежда сердце лилейный прижимать воспаленный мятежно каштановый прильнуть стыдливо вздымать излетать истерзать сердечко сжинать никнуть ладонь прижиматься чернота впечатлевать расшевеливать"
"6","глаз","глаз око взор лицо проступать ресница сомкнутый слезинка впалый смоль эмаль зеница туманить напитывать внимательно ямка завертываться вглядываться пылание заткнуть зевнуть ноздря глазок забытье профиль закрытый неожиданный опустя наливаться засвечиваться"
"7","цветок","цветок роза благоухать ландыш василек венчик лилея лиля крин незабудка ароматный черемуха лилия букет нарцисс росистый благовоние виноградный благоуханный свежать душистый ясмин стебель тиховейный усыпать распускаться опадать воскреснуть вплетать порхнуть"
"8","природа","природа паки обновляться зазеленеть устройство неизменяемый дикость живописать маять душ ясность кашемир сопрягать невозмутимый исследовать воскреснуть лазоревый одушевляться любуясти созерцание облачаться влияние сокровищница распроститься весна сосец ощущение обновление преображаться вещество"
"9","бал","бал гуляние званый бальный танец многолюдный рассеяние мусие молодежь затея улица завтрак ездить игрок вальс блядь четверка теснота городской базар затевать наобум обед будни заводиться мебель отъезд ужин фарфор отель"
"10","печаль","печаль тоска грусть неизлечимый страдание удручать гас горесть минувший закрадываться скорбь печалие сглаживать пресыщение уныние предугадывать злодейка истомляться бессонница страдалица огорчение радость тоскливый мертвящий несказанный одиночество разлучение былой томлюся угрызение"
"11","поэт","поэт школьник нельстивый бавий обыкновенно диплом решение гете избранник независимый превосходный прозаик воейков лафонтен вписывать писатель любимая божественно наперсник ювенал мыслитель погрешность сродни поэзия сонет удачный пиит иностранный лирический достославный"
"12","муза","муза аполлон феб вергилий грация аонида камена грей эпикур мельпомена гораций служитель вдохновенный пиерид кальфа назон лаис мыслитель германский любимец геликон питомец вольнодумный соглашать владетель лафонтен ценитель достославный богородица певец"
"13","лира","лира златострунный цитра струна бряцать арфа возгреметь настрой лирный лютня пастушеский бряцание тимпан изнеженный настраивать рокот бренчать цевница созвучный порываться радушно вильгельм мелодия дафнис кимвал треножник призыв пирный звук бояна"
"14","война","война дракон разбой ополчение обагряться мятеж погибельный сражение германия громить бунт полтава упорство гражданский царьград брань вламываться ниспровергать грабеж святослав галл разгромить могол истребление приступ бой воинство нападать польша поражение"
"15","русский","русский иноземец штык германия балалайка русь горев белокурый приступ потащить ермолов сплошь рязанский баден бывший государь наш братство раевский пушка кремль нехристь крещеный партизан наследный лях российский польша молебен китай"
"16","страна","страна край далекий любимая отчизна сторона азия брама почивший тундра самовольный азийский отторженный пепелище воспомнить изгнанник подлунная сторонушка обетованный странствие возвратиться блат подоблачный предел чужбина аркадий невтон фингал элизий таврида"
"17","служить","служить жертвовать восстанавливать считаться оспоривать проповедовать наравне жопа буде примерный удостоить стяжать повеление приобретать честить нуждаться ревностный счастливить всечасный трус повиновение дурачиться уступать солгать подданный почасту остерегать независимый повелевать потребовать"
"18","лобзание","лобзание поцелуй уста оледенить прикосновение взволноваться наливаться налюбоваться жгучий блистание упоительный лепет смыкать спалить обойми напитывать объятие пылание томление омачивать шипка запретный шепот прижимать тушить недосказывать сожигать впивать нескромный приласкать"
"19","смерть","смерть свобождать бедственный тиранство смертие ввергать кончина лютый бременить лезвие предрассуждение свирепство прекращать греховный глад люта истребление поражение крепиться очищение преступник предвидеть ковы спасение безжалостно смертный посмеяние терзание поносный лютость"
