"","dat$author","prop_f_nouns","prop_f_adj","prop_f_verb","prop_intj","mean_ac","female","body","poetry","war","sorrow","prop_f_pron"
"1","Бунина А.",-1.1556,-1.3969,-0.7941,-0.8591,-0.4999,0.6607,0.2856,0.1356,0.6583,0.0656,-0.79
"2","Кульман Е.Б.",-0.5267,-1.8729,0.5135,0.2387,1.124,-0.2157,2.9195,0.703,1.5019,0.0759,-1.397
"3","Павлова К.К.",-0.615,0.2954,-1.2472,2.5051,1.4966,-1.3976,-0.2456,0.1046,-1.1543,-0.5175,-1.0765
"4","Поспелова М.",-0.2936,0.5735,-0.6938,0.588,-0.9743,-0.8144,-0.4049,-0.8302,1.3868,-0.6697,-0.4755
"5","Ростопчина Е.П.",-0.276,0.2742,0.907,0.2515,-1.2748,0.183,0.2443,0.4364,-0.4461,0.2479,0.2627
"6","Теплова Н.С.",1.5415,1.0528,0.939,0.9524,-1.4207,-1.5456,-1.16,-0.6769,-2.1621,-0.8022,0.6823
"7","Шахова Е.Н.",1.7672,1.5024,2.2551,0.6431,-1.042,-0.1697,0.0538,-0.51,-0.085,-0.5846,1.623
"8","БаратынскийЕА",-0.2681,0.1806,0.018,-0.6974,-0.5944,0.3417,-1.2661,-1.588,0.7062,-1.3612,0.8056
"9","Бенедиктов В.Г.",0.0172,0.2349,0.2076,-0.5515,0.045,1.1996,-0.243,-0.8166,0.1471,0.9937,-0.1312
"10","ЖуковскийВА",-1.329,-0.9881,0.2598,-1.0211,0.609,-0.6707,-1.0552,1.1064,-0.4044,-1.4697,0.3655
"11","КарамзинНМ",-0.8437,-1.4292,-1.3859,-0.7134,-0.6644,-0.0351,0.1285,-0.4171,-0.0232,0.3697,-0.1754
"12","Козлов И.И.",1.8094,0.9826,0.9218,0.8496,0.0591,-0.8415,-0.5608,2.476,0.2594,1.3915,1.9483
"13","ЛермонтовМЮ",0.6365,-0.0888,-0.7134,-1.0277,0.8515,1.914,0.671,-0.3234,-1.096,0.7624,-0.1391
"14","ПушкинАС",-0.3039,-0.0923,-0.291,-1.0311,0.9687,-0.047,0.3672,-0.6198,1.0515,-0.5643,-0.0111
"15","Тимофеев А.В.",-0.1604,0.7717,-0.8965,-0.1272,1.3167,1.4383,0.2659,0.8201,-0.3401,2.0625,-1.4916
